instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
207617,811,DCMSHRIRAM,DCM SHRIRAM,,,,0.1,1,EQ,NSE,NSE
211713,827,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,,,,0.1,1,EQ,NSE,NSE
225537,881,DRREDDY,DR. REDDY S LABORATORIES,,,,0.1,1,EQ,NSE,NSE
232961,910,EICHERMOT,EICHER MOTORS,,,,0.5,1,EQ,NSE,NSE
234497,916,EIDPARRY,EID PARRY INDIA,,,,0.05,1,EQ,NSE,NSE
235265,919,EIHOTEL,EIH - OBEROI HOTELS,,,,0.05,1,EQ,NSE,NSE
237057,926,ORCHPHARMA,ORCHID PHARMA,,,,0.05,1,EQ,NSE,NSE
239617,936,DPABHUSHAN,D. P. ABHUSHAN,,,,0.1,1,EQ,NSE,NSE
239873,937,ELGIEQUIP,ELGI EQUIPMENTS,,,,0.05,1,EQ,NSE,NSE
240641,940,PGHL,PROCTER & GAMBLE HEALTH L,,,,0.5,1,EQ,NSE,NSE
244481,955,ESABINDIA,ESAB INDIA,,,,0.5,1,EQ,NSE,NSE
245249,958,ESCORTS,ESCORTS KUBOTA,,,,0.1,1,EQ,NSE,NSE
258049,1008,FACT,FACT,,,,0.05,1,EQ,NSE,NSE
258817,1011,SCHAEFFLER,SCHAEFFLER INDIA,,,,0.1,1,EQ,NSE,NSE
263681,1030,AARON,AARON INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
265729,1038,FINCABLES,FINOLEX CABLES,,,,0.05,1,EQ,NSE,NSE
269569,1053,UFLEX,UFLEX,,,,0.05,1,EQ,NSE,NSE
274689,1073,FOSECOIND,FOSECO INDIA,,,,0.1,1,EQ,NSE,NSE
275457,1076,ZENSARTECH,ZENSAR TECHNOLOGIES ,,,,0.05,1,EQ,NSE,NSE
277761,1085,GABRIEL,GABRIEL INDIA,,,,0.05,1,EQ,NSE,NSE
281601,1100,GARFIBRES,GARWARE TECH FIBRES,,,,0.05,1,EQ,NSE,NSE
288513,1127,GHCL,GHCL,,,,0.05,1,EQ,NSE,NSE
295169,1153,GLAXO,GLAXOSMITHKLINE PHARMA LT,,,,0.1,1,EQ,NSE,NSE
297985,1164,NEWGEN,NEWGEN SOFTWARE TECH,,,,0.1,1,EQ,NSE,NSE
299009,1168,GMBREW,G M BREWERIES,,,,0.05,1,EQ,NSE,NSE
300545,1174,GNFC,GUJ NAR VAL FER & CHEM L,,,,0.05,1,EQ,NSE,NSE
302337,1181,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,,,,0.5,1,EQ,NSE,NSE
303361,1185,AMBER,AMBER ENTERPRISES (I),,,,0.5,1,EQ,NSE,NSE
303617,1186,GLAND,GLAND PHARMA,,,,0.1,1,EQ,NSE,NSE
304641,1190,FMGOETZE,FEDERAL-MOGUL GOETZE (IND,,,,0.05,1,EQ,NSE,NSE
306177,1196,KANSAINER,KANSAI NEROLAC PAINTS,,,,0.05,1,EQ,NSE,NSE
315393,1232,GRASIM,GRASIM INDUSTRIES,,,,0.1,1,EQ,NSE,NSE
324353,1267,GUJALKALI,GUJARAT ALKALIES & CHEM,,,,0.05,1,EQ,NSE,NSE
325121,1270,AMBUJACEM,AMBUJA CEMENTS,,,,0.05,1,EQ,NSE,NSE
336641,1315,GALAXYSURF,GALAXY SURFACTANTS,,,,0.1,1,EQ,NSE,NSE
341249,1333,HDFCBANK,HDFC BANK,,,,0.1,1,EQ,NSE,NSE
342017,1336,HEG,HEG,,,,0.05,1,EQ,NSE,NSE
345089,1348,HEROMOTOCO,HERO MOTOCORP,,,,0.1,1,EQ,NSE,NSE
348929,1363,HINDALCO,HINDALCO  INDUSTRIES ,,,,0.05,1,EQ,NSE,NSE
351233,1372,HINDCOMPOS,HINDUSTAN COMPOSITES,,,,0.05,1,EQ,NSE,NSE
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER,,,,0.1,1,EQ,NSE,NSE
359937,1406,HINDPETRO,HINDUSTAN PETROLEUM CORP,,,,0.05,1,EQ,NSE,NSE
361473,1412,AGI,AGI GREENPAC,,,,0.05,1,EQ,NSE,NSE
364545,1424,HINDZINC,HINDUSTAN ZINC,,,,0.05,1,EQ,NSE,NSE
369153,1442,SANOFI,SANOFI INDIA,,,,0.5,1,EQ,NSE,NSE
372481,1455,BIRLANU,BIRLANU,,,,0.1,1,EQ,NSE,NSE
375553,1467,AKZOINDIA,AKZO NOBEL INDIA,,,,0.1,1,EQ,NSE,NSE
380161,1485,IFBIND,IFB INDUSTRIES,,,,0.1,1,EQ,NSE,NSE
386049,1508,ASTERDM,ASTER DM HEALTHCARE,,,,0.05,1,EQ,NSE,NSE
387073,1512,INDHOTEL,THE INDIAN HOTELS CO.,,,,0.05,1,EQ,NSE,NSE
387841,1515,INDIACEM,THE INDIA CEMENTS,,,,0.05,1,EQ,NSE,NSE
389377,1521,INDIAGLYCO,INDIA GLYCOLS,,,,0.1,1,EQ,NSE,NSE
391681,1530,INDIANHUME,INDIAN HUME PIPE CO.,,,,0.05,1,EQ,NSE,NSE
401921,1570,GMMPFAUDLR,GMM PFAUDLER,,,,0.1,1,EQ,NSE,NSE
403457,1576,GILLETTE,GILLETTE INDIA,,,,0.5,1,EQ,NSE,NSE
408065,1594,INFY,INFOSYS,,,,0.1,1,EQ,NSE,NSE
408833,1597,INGERRAND,INGERSOLL-RAND INDIA,,,,0.1,1,EQ,NSE,NSE
413185,1614,FAIRCHEMOR,FAIRCHEM ORGANICS,,,,0.05,1,EQ,NSE,NSE
414977,1621,TATAINVEST,TATA INVESTMENT CORP,,,,0.5,1,EQ,NSE,NSE
416513,1627,LINDEINDIA,LINDE INDIA,,,,0.5,1,EQ,NSE,NSE
416769,1628,BECTORFOOD,MRS BECTORS FOOD SPE,,,,0.1,1,EQ,NSE,NSE
417281,1630,IONEXCHANG,ION EXCHANGE (INDIA),,,,0.05,1,EQ,NSE,NSE
418049,1633,IPCALAB,IPCA LABORATORIES,,,,0.1,1,EQ,NSE,NSE
424961,1660,ITC,ITC,,,,0.05,1,EQ,NSE,NSE
425729,1663,SUNDROP,SUNDROP BRANDS,,,,0.05,1,EQ,NSE,NSE
428033,1672,HGINFRA,H.G.INFRA ENGINEERING,,,,0.1,1,EQ,NSE,NSE
428801,1675,ITI,ITI,,,,0.05,1,EQ,NSE,NSE
441857,1726,JBCHEPHARM,J B CHEMICALS AND PHARMA,,,,0.1,1,EQ,NSE,NSE
449537,1756,JINDALPOLY,JINDAL POLY FILMS,,,,0.05,1,EQ,NSE,NSE
460033,1797,AWHCL,ANTONY WASTE HDG CELL,,,,0.05,1,EQ,NSE,NSE
462849,1808,KAJARIACER,KAJARIA CERAMICS,,,,0.1,1,EQ,NSE,NSE
464385,1814,KPIL,KALPATARU PROJECT INT,,,,0.1,1,EQ,NSE,NSE
481025,1879,CARYSIL,CARYSIL,,,,0.05,1,EQ,NSE,NSE
486657,1901,CUMMINSIND,CUMMINS INDIA,,,,0.1,1,EQ,NSE,NSE
492033,1922,KOTAKBANK,KOTAK MAHINDRA BANK,,,,0.1,1,EQ,NSE,NSE
492289,1923,WEALTH,WEALTH FRST PORT. MG.,,,,0.05,1,EQ,NSE,NSE
498945,1949,KSB,KSB,,,,0.05,1,EQ,NSE,NSE
502785,1964,TRENT,TRENT,,,,0.5,1,EQ,NSE,NSE
506625,1979,LMW,LMW,,,,1,1,EQ,NSE,NSE
511233,1997,LICHSGFIN,LIC HOUSING FINANCE,,,,0.05,1,EQ,NSE,NSE
516609,2018,LUMAXIND,LUMAX INDUSTRIES,,,,0.1,1,EQ,NSE,NSE
519937,2031,M&M,MAHINDRA & MAHINDRA,,,,0.1,1,EQ,NSE,NSE
523009,2043,RAMCOCEM,THE RAMCO CEMENTS,,,,0.05,1,EQ,NSE,NSE
524289,2048,INDIGOPNTS,INDIGO PAINTS,,,,0.1,1,EQ,NSE,NSE
524545,2049,CHENNPETRO,CHENNAI PETROLEUM CORP LT,,,,0.05,1,EQ,NSE,NSE
526337,2056,HOMEFIRST,HOME FIRST FIN CO IND,,,,0.1,1,EQ,NSE,NSE
530689,2073,VTL,VARDHMAN TEXTILES,,,,0.05,1,EQ,NSE,NSE
533761,2085,MAHSCOOTER,MAHARASHTRA SCOOTERS,,,,1,1,EQ,NSE,NSE
534529,2088,MAHSEAMLES,MAHARASHTRA SEAMLESS,,,,0.05,1,EQ,NSE,NSE
539137,2106,MANGLMCEM,MANGALAM CEMENT,,,,0.05,1,EQ,NSE,NSE
539393,2107,STOVEKRAFT,STOVE KRAFT,,,,0.05,1,EQ,NSE,NSE
543745,2124,MASTEK,MASTEK,,,,0.1,1,EQ,NSE,NSE
548353,2142,MFSL,MAX FINANCIAL SERV,,,,0.1,1,EQ,NSE,NSE
548865,2144,BDL,BHARAT DYNAMICS,,,,0.1,1,EQ,NSE,NSE
558337,2181,BOSCHLTD,BOSCH,,,,5,1,EQ,NSE,NSE
558849,2183,SUNDARMHLD,SUNDARAM FINANCE HOLD,,,,0.05,1,EQ,NSE,NSE
582913,2277,MRF,MRF,,,,5,1,EQ,NSE,NSE
585985,2289,HLEGLAS,HLE GLASCOAT,,,,0.05,1,EQ,NSE,NSE
589569,2303,HAL,HINDUSTAN AERONAUTICS,,,,0.1,1,EQ,NSE,NSE
591617,2311,BESTAGRO-BE,BEST AGROLIFE,,,,0.05,1,EQ,NSE,NSE
602369,2353,NURECA-BE,NURECA,,,,0.05,1,EQ,NSE,NSE
611329,2388,NELCO,NELCO,,,,0.05,1,EQ,NSE,NSE
613633,2397,SANDHAR,SANDHAR TECHNOLOGIES,,,,0.05,1,EQ,NSE,NSE
615937,2406,NEULANDLAB,NEULAND LAB,,,,1,1,EQ,NSE,NSE
617473,2412,PEL,PIRAMAL ENTERPRISES,,,,0.1,1,EQ,NSE,NSE
619777,2421,NILKAMAL,NILKAMAL,,,,0.1,1,EQ,NSE,NSE
622337,2431,RAILTEL,RAILTEL CORP OF IND,,,,0.05,1,EQ,NSE,NSE
630529,2463,MIDHANI,MISHRA DHATU NIGAM,,,,0.05,1,EQ,NSE,NSE
635137,2481,ONWARDTEC,ONWARD TECHNOLOGIES,,,,0.05,1,EQ,NSE,NSE
648961,2535,PGHH,P&G HYGIENE & HEALTH CARE,,,,1,1,EQ,NSE,NSE
669697,2616,SEAMECLTD,SEAMEC,,,,0.05,1,EQ,NSE,NSE
670721,2620,HERANBA-BE,HERANBA INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
676609,2643,PFIZER,PFIZER,,,,0.5,1,EQ,NSE,NSE
678145,2649,PCBL,PCBL CHEMICAL,,,,0.05,1,EQ,NSE,NSE
681985,2664,PIDILITIND,PIDILITE INDUSTRIES,,,,0.1,1,EQ,NSE,NSE
687873,2687,POLYPLEX,POLYPLEX CORPORATION,,,,0.1,1,EQ,NSE,NSE
692481,2705,PRAJIND,PRAJ INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
693505,2709,MTARTECH,MTAR TECHNOLOGIES,,,,0.1,1,EQ,NSE,NSE
694017,2711,PRECOT,PRECOT,,,,0.05,1,EQ,NSE,NSE
695297,2716,BUTTERFLY,BTRFLY GANDHI APPL,,,,0.05,1,EQ,NSE,NSE
712449,2783,JUBLINGREA,JUBILANT INGREVIA,,,,0.05,1,EQ,NSE,NSE
716545,2799,CHEMFAB,CHEMFAB ALKALIS,,,,0.05,1,EQ,NSE,NSE
720897,2816,RALLIS,RALLIS INDIA,,,,0.05,1,EQ,NSE,NSE
724225,2829,ANURAS,ANUPAM RASAYAN INDIA,,,,0.1,1,EQ,NSE,NSE
728065,2844,RANEHOLDIN,RANE HOLDINGS,,,,0.1,1,EQ,NSE,NSE
730625,2854,CRAFTSMAN,CRAFTSMAN AUTOMATION,,,,0.5,1,EQ,NSE,NSE
731905,2859,RAYMOND,RAYMOND,,,,0.05,1,EQ,NSE,NSE
738561,2885,RELIANCE,RELIANCE INDUSTRIES,,,,0.1,1,EQ,NSE,NSE
745473,2912,RIIL,RELIANCE INDUSTRIAL INFRA,,,,0.05,1,EQ,NSE,NSE
756481,2955,KALYANKJIL,KALYAN JEWELLERS IND,,,,0.05,1,EQ,NSE,NSE
764673,2987,NAZARA,NAZARA TECHNOLOGIES,,,,0.1,1,EQ,NSE,NSE
764929,2988,SANDESH,SANDESH,,,,0.1,1,EQ,NSE,NSE
768513,3002,WONDERLA,WONDERLA HOLIDAYS,,,,0.05,1,EQ,NSE,NSE
773377,3021,SOTL,SAVITA OIL TECHNOLO.,,,,0.05,1,EQ,NSE,NSE
779521,3045,SBIN,STATE BANK OF INDIA,,,,0.05,1,EQ,NSE,NSE
784129,3063,VEDL,VEDANTA,,,,0.05,1,EQ,NSE,NSE
784897,3066,SESHAPAPER,SESHASAYEE PAPER & BOARDS,,,,0.05,1,EQ,NSE,NSE
787969,3078,SHANTIGEAR,SHANTHI GEARS,,,,0.05,1,EQ,NSE,NSE
790529,3088,INDOSTAR,INDOSTAR CAPITAL FIN,,,,0.05,1,EQ,NSE,NSE
794369,3103,SHREECEM,SHREE CEMENT,,,,5,1,EQ,NSE,NSE
800513,3127,BARBEQUE,BARBEQUE NATION HOSP.,,,,0.05,1,EQ,NSE,NSE
801025,3129,TRANSWORLD,TRANSWORLD SHIP LINES,,,,0.05,1,EQ,NSE,NSE
803329,3138,HONDAPOWER,HONDA I POWER PRODUCT,,,,0.1,1,EQ,NSE,NSE
806145,3149,BORORENEW,BOROSIL RENEWABLES,,,,0.05,1,EQ,NSE,NSE
806401,3150,SIEMENS,SIEMENS,,,,0.1,1,EQ,NSE,NSE
809473,3162,SIMPLEXINF,SIMPLEX INFRASTRUCTURES L,,,,0.05,1,EQ,NSE,NSE
815617,3186,SKFINDIA,SKF INDIA,,,,0.1,1,EQ,NSE,NSE
824321,3220,LODHA,MACROTECH DEVELOPERS,,,,0.1,1,EQ,NSE,NSE
837889,3273,SRF,SRF,,,,0.1,1,EQ,NSE,NSE
839681,3280,TEMBO-BE,TEMBO GLOBAL IND,,,,0.05,1,EQ,NSE,NSE
842753,3292,DEEPINDS,DEEP INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
850945,3324,SUBROS,SUBROS,,,,0.05,1,EQ,NSE,NSE
851713,3327,SUDARSCHEM,SUDARSHAN CHEMICAL INDS L,,,,0.1,1,EQ,NSE,NSE
852225,3329,ISGEC,ISGEC HEAVY ENG,,,,0.1,1,EQ,NSE,NSE
854785,3339,SUNDARMFIN,SUNDARAM FINANCE,,,,0.5,1,EQ,NSE,NSE
856321,3345,SUNDRMFAST,SUNDRAM FASTENERS,,,,0.1,1,EQ,NSE,NSE
857089,3348,SUNFLAG,SUNFLAG IRON AND STEEL CO,,,,0.05,1,EQ,NSE,NSE
857857,3351,SUNPHARMA,SUN PHARMACEUTICAL IND L,,,,0.1,1,EQ,NSE,NSE
860929,3363,SUPREMEIND,SUPREME INDUSTRIES,,,,0.1,1,EQ,NSE,NSE
864001,3375,SURYAROSNI,SURYA ROSHNI,,,,0.05,1,EQ,NSE,NSE
866305,3384,SWARAJENG,SWARAJ ENGINES,,,,0.1,1,EQ,NSE,NSE
867073,3387,SMLISUZU,SML ISUZU,,,,0.1,1,EQ,NSE,NSE
867585,3389,AGARIND,AGARWAL INDS CORP,,,,0.05,1,EQ,NSE,NSE
871681,3405,TATACHEM,TATA CHEMICALS,,,,0.05,1,EQ,NSE,NSE
873217,3411,TATAELXSI,TATA ELXSI,,,,0.5,1,EQ,NSE,NSE
874753,3417,HONAUT,HONEYWELL AUTOMATION IND,,,,5,1,EQ,NSE,NSE
877057,3426,TATAPOWER,TATA POWER CO,,,,0.05,1,EQ,NSE,NSE
878593,3432,TATACONSUM,TATA CONSUMER PRODUCT,,,,0.1,1,EQ,NSE,NSE
884737,3456,TATAMOTORS,TATA MOTORS,,,,0.05,1,EQ,NSE,NSE
889601,3475,THERMAX,THERMAX,,,,0.1,1,EQ,NSE,NSE
891393,3482,CLSEL,CHAMAN LAL SETIA EXP,,,,0.05,1,EQ,NSE,NSE
897537,3506,TITAN,TITAN COMPANY,,,,0.1,1,EQ,NSE,NSE
900609,3518,TORNTPHARM,TORRENT PHARMACEUTICALS L,,,,0.1,1,EQ,NSE,NSE
907777,3546,TTKPRESTIG,TTK PRESTIGE,,,,0.05,1,EQ,NSE,NSE
912129,3563,ADANIGREEN,ADANI GREEN ENERGY,,,,0.1,1,EQ,NSE,NSE
916225,3579,UNICHEMLAB,UNICHEM LABORATORIES,,,,0.05,1,EQ,NSE,NSE
923393,3607,UNIVCABLES,UNIVERSAL CABLES,,,,0.05,1,EQ,NSE,NSE
931073,3637,JUBLPHARMA,JUBILANT PHARMOVA,,,,0.1,1,EQ,NSE,NSE
940033,3672,SOLARA,SOLARA ACTIVE PHA SCI,,,,0.05,1,EQ,NSE,NSE
941057,3676,VESUVIUS,VESUVIUS INDIA,,,,0.5,1,EQ,NSE,NSE
945665,3694,VINDHYATEL,VINDHYA TELELINKS,,,,0.1,1,EQ,NSE,NSE
947969,3703,VIPIND,VIP INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
951809,3718,VOLTAS,VOLTAS,,,,0.1,1,EQ,NSE,NSE
952577,3721,TATACOMM,TATA COMMUNICATIONS,,,,0.1,1,EQ,NSE,NSE
953345,3724,VSTIND,VST INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
958465,3744,FINEORG,FINE ORGANIC IND.,,,,0.1,1,EQ,NSE,NSE
961793,3757,VENKEYS,VENKY S (INDIA),,,,0.1,1,EQ,NSE,NSE
962817,3761,RITES,RITES,,,,0.05,1,EQ,NSE,NSE
964097,3766,WHEELS,WHEELS INDIA,,,,0.05,1,EQ,NSE,NSE
972545,3799,WSTCSTPAPR,WEST COAST PAPER MILLS LT,,,,0.05,1,EQ,NSE,NSE
979713,3827,ZUARIIND,ZUARI INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
981505,3834,BHARATRAS,BHARAT RASAYAN,,,,0.5,1,EQ,NSE,NSE
987393,3857,VARROC,VARROC ENGINEERING,,,,0.05,1,EQ,NSE,NSE
993281,3880,SOMANYCERA,SOMANY CERAMICS,,,,0.05,1,EQ,NSE,NSE
996353,3892,HATSUN,HATSUN AGRO PRODUCT,,,,0.05,1,EQ,NSE,NSE
999937,3906,CAPLIPOINT,CAPLIN POINT LAB,,,,0.1,1,EQ,NSE,NSE
1003009,3918,NATCOPHARM,NATCO PHARMA,,,,0.05,1,EQ,NSE,NSE
1014529,3963,GOCLCORP,GOCL CORPORATION,,,,0.05,1,EQ,NSE,NSE
1020673,3987,GREENPLY,GREENPLY INDUSTRIES,,,,0.05,1,EQ,NSE,NSE
1027585,4014,NAVA,NAVA,,,,0.05,1,EQ,NSE,NSE
1034241,4040,EIMCOELECO,EIMCO ELECON (INDIA),,,,0.1,1,EQ,NSE,NSE
1034497,4041,JAYAGROGN,JAYANT AGRO ORGANICS,,,,0.05,1,EQ,NSE,NSE
1038081,4055,PANACEABIO,PANACEA BIOTEC,,,,0.05,1,EQ,NSE,NSE
1041153,4067,MARICO,MARICO,,,,0.05,1,EQ,NSE,NSE
1050881,4105,SILINV,SIL INVESTMENTS,,,,0.05,1,EQ,NSE,NSE
1069057,4176,ZENITHEXPO,ZENITH EXPORTS,,,,0.05,1,EQ,NSE,NSE
1069825,4179,SUNDRMBRAK,SUNDARAM BRAK LININGS,,,,0.05,1,EQ,NSE,NSE
1071105,4184,SANGAMIND,SANGAM (INDIA),,,,0.05,1,EQ,NSE,NSE
1084161,4235,WENDT,WENDT (INDIA),,,,0.5,1,EQ,NSE,NSE
1086465,4244,HDFCAMC,HDFC AMC,,,,0.1,1,EQ,NSE,NSE
1095425,4279,DENORA,DE NORA INDIA,,,,0.05,1,EQ,NSE,NSE
1100545,4299,STERTOOLS,STERLING TOOLS,,,,0.05,1,EQ,NSE,NSE
1102337,4306,SHRIRAMFIN,SHRIRAM FINANCE,,,,0.05,1,EQ,NSE,NSE
1112065,4344,PUNJABCHEM,PUNJAB CHEM & CROP PROT L,,,,0.1,1,EQ,NSE,NSE
1124097,4391,GULFOILLUB,GULF OIL LUB. IND.,,,,0.1,1,EQ,NSE,NSE
1131777,4421,CREDITACC,CREDITACCESS GRAMEEN,,,,0.1,1,EQ,NSE,NSE
1132033,4422,INDIANCARD,INDIAN CARD CLOTHING CO.,,,,0.05,1,EQ,NSE,NSE
1144065,4469,ELECTHERM,ELECTROTHERM (I),,,,0.1,1,EQ,NSE,NSE
1147137,4481,AARTIDRUGS,AARTI DRUGS,,,,0.05,1,EQ,NSE,NSE
1148673,4487,ALKYLAMINE,ALKYL AMINES CHEM.,,,,0.1,1,EQ,NSE,NSE
